Agreeableness
Compassion
Politeness
Tender Mindedness
Nurturance
Cooperation
Lack of aggression
Modesty
Non manipulative
cd.-Warmth
cd.-Interpersonal sensitivity
cd.-Customer service
cd.-Trust
cd.-Machiavellianism
cd.-Self monitoring
Conscientiousness
Industriousness
Orderliness
Achievement
Persistence
Dependability
Cautiousness
Orderliness
Procrastination avoidness
cd.-Routine seeking
cd.-Cold efficiency
cd.-Judging-Perceiving
cd.-Self control
cd.-Type A
cd.-Achievement via Independence
cd.-Rugged individualism
