Neurotism
Withdrawal
Volatility
Negative affect
Depression
Anxiety
Anxiety (Test)
Uneven Tempered
Suspiciousness
cd.-Self esteem
cd.-Stress tolerance
cd.-Locus of Control
General Factor of Personality
Factor Alpha
